Company,Valuation,Category,Country,Funding,Investors
The Hut Group,3253,E-commerce,United Kingdom,2124,"Kohlberg Kravis Roberts & Co., Old Mutual Global Investors, Artemis Investment Management"
Thumbtack,1183,E-commerce,United States of America,274,"Tiger Global, Sequoia Capital, Google Capital"
Tiger Brokers,1060,Fintech,China,140,"ZhenFund, China Renaissance, CreditEase Fintech Investment Fund"
Toast,1400,Other,United States of America,253,"Bessemer Venture Partners, Tiger Global Management, Google Ventures"
Tokopedia,7000,E-commerce,Indonesia,2448,"SoftBankGroup, Alibaba Group, Sequoia Capital India"
Tongdun Technology,1000,Cybersecurity,China,136,"Advantech Capital, Temasek Holdings Ltd., Tiantu Capital Co."
Tradeshift,1100,Fintech,United States of America,455,"Notion Capital, Scentan Ventures, Kite Ventures"
TransferWise,1600,Fintech,United Kingdom,481,"IA Ventures, Index Ventures, SV Angel"
Traveloka Indonesia,2000,Travel Tech,Indonesia,500,"Global Founders Capital, East Ventures, Expedia Inc."
Trendy Group International,2000,Other,Hong Kong,200,L Capital Partners
TripActions,1000,Travel Tech,United States of America,236,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures"
Tuandaiwang,1460,Fintech,China,396,"Beihai Hongtai Investment, China Minsheng Investment, Yisheng Innovation"
Tuhu,1164,Auto Tech,China,580,"Qiming Venture Partners, Yaxia Automobile, Far East Horizon"
TuJia,1500,E-commerce,China,764,"GGV Capital, QiMing Venture Partnersl"
Uber,72000,On-Demand,United States of America,16859,"Lowercase Capital, Benchmark Capital, Google Ventures"
UBTECH Robotics,5000,Other,China,945,"CDH Investments, Goldstone Investments, Qiming Venture Partners"
Ucommune,3000,Other,China,768,"Ant Financial Services Group, Dahong Group, Sequoia Capital China"
Udaan,1000,E-commerce,India,285,"DST Global, Lightspeed Venture Partners, Microsoft ScaleUp"
UiPath,3000,Internet Software & Services,United States of America,448,"Accel Partners, capitalG, Earlybrid Venture Capital, Kleiner Perkins Caufield & Byers"
United Imaging Healthcare,5000,Healthcare,China,500,"China Life Insurance, China Development Bank Capital, CITIC Securities International"
Unity Technologies,1835,Other,United States of America,448,"Sequoia Capital, iGlobe Partners, DFJ Growth"
Uptake Technologies,2300,Data Analytics,United States of America,287,"Revolution, New Enterprise Associates, Caterpillar"
VANCL,3000,E-commerce,China,522,"Ceyuan Ventures, QiMing Venture Partners, Temasek Holdings"
Vice Media,5700,Media,United States of America,1220,"Technology Crossover Ventures, A&E Television Networks"
VIPKID,3000,Internet Software & Services,China,826,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures"
VistaJet,2500,On-Demand,Malta,,Rhone Capital
Viva Republica (Toss),1200,Fintech,South Korea,242,"Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers"
Vox Media,1000,Media,United States of America,325,"Accel Partners, Comcast Ventures, General Atlantic"
WalkMe,1000,Internet Software & Services,United States of America,218,"Gemini Israel Ventures, Insight Venture Partners, Giza Venture Capital"
Warby Parker,1750,E-commerce,United States of America,291,"BoxGroup, Felicis Ventures, First Round Capital"
We Doctor,5500,Healthcare,China,1036,"Tencent, Morningside Group"
WeWork,47000,Other,United States of America,6461,"T. Rowe Price, Benchmark Capital, SoftBank Group"
